id,title,content,tags
1,What right approach write spin controller soccer robot?,"Imagine programming 3 wheel soccer robot. What type controller would use spinning it? P? PID? The goal controller make robot stand defined angle ( 0 degree ) turn back rotated hand robot. I use stepper motors robot servos I need implement software! I written sample P type controller already movement fairly good. But I would like make better possible. The code follows: correction range , robot movement. degree number -127 128 returned compass. motorSpeed number 0 255 applied PWM.",soccer control
2,How I modify low cost hobby servo run 'freely'?,"I've got hobby servos (Power HD 1501MGs) I'd like able control (via Arduino) either go angle I set, put 'free running' mode, load take wherever goes. Is even possible, I going end stripping gears? My first thought simply kill power servo, force required move state I'd like. If possible, I looking hardware change, could I software?",control rcservo
3,"What useful gaits exist six legged robot, pros cons?","lists three gaits: tripod wave, ripple. Can improved, relative pros cons altered, gaits worth considering?",gait walk
4,Good Microcontrollers/SOCs Robotics Project,"I looking starting point project, preferably using popular systems (ones lot support for). I Arduino Uno, Raspberry Pi, lot willpower :) Anyone built project using systems above? Observation: I'd like start simple line-following vehicle build afterwards.",microcontroller arduino raspberry-pi
5,Nearest-neighbor data structure non-Euclidean configuration space,"I'm trying implement nearest-neighbor structure use RRT motion planner. In order better linear brute-force nearest-neighbor search, I'd like implement something like kd-tree. However, seems like classical implementation kd-tree assumes dimension space split ""left"" ""right"". This notion doesn't seem apply non-Euclidean spaces like SO(2), instance. I'm working serial manipulator arm fully rotational links, meaning dimension robot's configuration space SO(2), therefore non-Euclidean. Can kd-tree algorithm modified handle kinds subspaces? If not, another nearest-neighbor structure handle non-Euclidean subspaces still easy update query? I also took look FLANN, wasn't clear documentation whether handle non-Euclidean subspaces.",motion-planning rrt
6,What good robotics software platforms / operating systems available?,"My company soon starting brand new robotics project, still trying decide whether design code robotics software platform scratch, good existing ones. It would useful software platform commonly used among academics industry robotic system generally compatible others, people already familiar it. We would like software platform able to: Integrate new robotic hardware components easily. Already contain wide array useful data processing visualisation tools Make efficient use computing hardware",software platform
11,What software use design PCB robotics field?,"What best software (despite price) designing circuits PCB boards robots? I mean lots components, different designing methods, best accuracy, ... I use Altium Designer I think answers needs, maybe better ones market don't know about!",software circuit
18,What good methods tuning process noise Kalman filters?,Most often tuning Kalman filter noise matrices done trial error domain knowledge. Are principled ways tuning Kalman filter parameters?,odometry localization kalman-filter
19,Keyboard control map scalar based movement?,I'm working Wild Thumper 6 wheel chasis designed use RC controller. However I'd like mapping keyboard control well. Can suggest set keys behaviors you've used deal continuous value control normally offered joystick pair joysticks? The standard wasd keys + accelerate/decelerate pair? I'd also take pointer videogame think well.,untagged
20,Ideas shooting ball soccer robot,"What best option use shooting system soccer robot? I already implemented solenoid-based system shooting works perfectly. However, I'd like methods check better mine.",soccer mechanism
23,F/OSS Optical Object Avoidance,"I beginning work larger scale, 250-350 lbs wheeled robot looking use optical means object avoidance. I concerned robot large causing issues running things, including people top speed 15mph would cause issues safety. I starting remote control looking robot become self contained. I loosely following DARPA driver-less car project anywhere near fiscal power budget sensors computers. Am I thinking far afield idea self-contained robot 250-300 lbs range break bank optical object avoidance? Any comments experiences greatly appreciated.",computer-vision wheeled-robot
25,How choose right propeller/motor combination quadcopter?,There many sites explain briefly problem even propose combinations. I however would like much detailed explanation. What going give quad agility? Do I need bigger motors/props heavy quad achieve level agility lighter quad? EDIT: Here I understood subject: A quadcopter doesn't need high revving motors 4 propellers providing thrust high revving motors require battery power. Larger propellers give thrust per revolution motor. The question focused general characteristics various combinations specific questions spring mind: For given combination would effect upgrading propeller size comparison installing higher revving motors? What changes would need made lift heavier quad? How I achieve agility quad?,quadcopter
